#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 14 08 50 221  8.7 10.7  3.04 16.00  6.91 266 1009.8   8.5   9.0 999.0 99.0 99.00
2008 03 14 09 50 224  8.8 10.7 99.00 99.00 99.00 999 1009.6   8.6   9.0 999.0 99.0 99.00
2008 03 14 10 50 217  8.5 10.6  2.85 16.00  7.12 253 1009.2   8.7   9.0 999.0 99.0 99.00
2008 03 14 11 50 239  8.2  9.9  3.12 14.81  7.54 273 1008.9   7.4   9.0 999.0 99.0 99.00
2008 03 14 12 50 213  9.3 11.0  2.92 14.81  7.40 265 1008.7   8.3   9.0 999.0 99.0 99.00
2008 03 14 13 50 248  7.7 10.1 99.00 99.00 99.00 999 1008.8   8.1   9.0 999.0 99.0 99.00
2008 03 14 14 50 229  6.9  8.8  3.19 16.00  7.39 252 1009.1   7.8   9.0 999.0 99.0 99.00
2008 03 14 15 50 236  9.2 10.9  3.13 13.79  7.67 262 1009.3   8.2   9.0 999.0 99.0 99.00
2008 03 14 16 50 236  8.2 10.9  3.49 14.81  8.39 270 1009.8   8.2   9.0 999.0 99.0 99.00
2008 03 14 17 50 223  8.4 10.3  3.46 14.81  8.08 260 1010.2   8.4   9.0 999.0 99.0 99.00
2008 03 14 18 50 221  8.1 10.0  3.27 14.81  7.57 255 1010.3   8.2   9.0 999.0 99.0 99.00
2008 03 14 19 50 220  7.3  8.6 99.00 99.00 99.00 999 1010.4   8.4   9.0 999.0 99.0 99.00
2008 03 14 20 50 230  9.0 13.0 99.00 99.00 99.00 999 1010.4   8.3   9.1 999.0 99.0 99.00
2008 03 14 21 50 229 10.4 15.9  3.14 14.81  7.61 255 1010.2   8.0   9.1 999.0 99.0 99.00
2008 03 14 22 50 238  9.1 11.0 99.00 99.00 99.00 999 1009.9   8.1   9.1 999.0 99.0 99.00
