YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
96 01 08 22 141  4.4  5.3  2.54 11.11  8.19 261 1017.9  13.4  12.1 999.0 99.0
96 01 08 23 169  3.5  4.5  2.61 14.29  8.70 276 1018.0  13.4  12.1 999.0 99.0
96 01 09 00 230  2.0  3.3  2.64 11.11  8.34 266 1017.8  12.9  12.1 999.0 99.0
96 01 09 01 249  1.8  2.6  2.61 11.11  8.51 256 1017.4  12.8  12.1 999.0 99.0
96 01 09 02 283   .4  1.7  2.51 12.50  8.38 269 1016.9  12.6  12.1 999.0 99.0
96 01 09 03  93   .9  2.0  2.71 10.00  8.60 249 1016.4  12.6  12.1 999.0 99.0
96 01 09 04  91  2.5  4.1  2.63 12.50  9.02 264 1016.2  12.8  12.1 999.0 99.0
96 01 09 05  92  1.3  2.5  2.70 12.50  8.78 256 1016.2  12.8  12.1 999.0 99.0
96 01 09 06  43   .7  1.7  2.62 12.50  9.24 262 1015.8  12.8  12.1 999.0 99.0
96 01 09 07  21   .7  1.9  2.55 12.50  9.09 261 1015.8  12.8  12.1 999.0 99.0
96 01 09 08 326  1.9  2.4  2.55 11.11  9.19 255 1015.6  12.8  12.1 999.0 99.0
96 01 09 09  84  1.3  2.4  2.43 12.50  8.99 261 1015.0  12.6  12.1 999.0 99.0
96 01 09 10  99  4.3  5.4  2.26 12.50  9.13 253 1014.2  12.7  12.1 999.0 99.0
96 01 09 11 114  5.0  6.0  2.58 12.50  9.24 264 1014.1  12.8  12.1 999.0 99.0
96 01 09 12 264  1.1  2.1  2.52 11.11  9.08 241 1014.2  12.8  12.1 999.0 99.0
96 01 09 13 311  1.3  2.2  2.47 12.50  8.75 268 1014.4  12.8  12.1 999.0 99.0
96 01 09 14 315   .1   .9  2.47 12.50  9.06 267 1014.2  12.6  12.1 999.0 99.0
96 01 09 15 322   .1   .6  2.68 12.50  9.49 268 1014.6  12.5  12.1 999.0 99.0
96 01 09 16 236  1.5  2.3  2.56 12.50  8.74 267 1014.9  12.5  12.1 999.0 99.0
96 01 09 17 229  1.6  2.8  2.79 12.50  9.03 276 1015.7  12.6  12.1 999.0 99.0
96 01 09 18 224  2.5  3.6  2.69 12.50  9.30 276 1016.5  12.5  12.1 999.0 99.0
96 01 09 19 269  3.8  5.4  2.70 11.11  9.27 264 1017.5  12.4  12.1 999.0 99.0
96 01 09 20 270  3.8  5.4  2.80 11.11  9.06 257 1017.9  12.6  12.1 999.0 99.0
96 01 09 21 301  6.4  7.9  2.36 12.50  8.52 269 1018.1  12.8  12.1 999.0 99.0
96 01 09 22 309  6.4  7.9  2.35 11.11  7.90 252 1018.9  12.6  12.1 999.0 99.0
96 01 09 23 311  7.4  9.0  2.42 11.11  7.80 254 1020.2  12.5  12.1 999.0 99.0
96 01 10 00 302  5.7  7.1  2.16 11.11  7.25 250 1021.0  12.6  12.1 999.0 99.0
96 01 10 01 308  6.1  7.3  2.28 12.50  7.31 261 1022.1  12.5  12.1 999.0 99.0
96 01 10 02 304  5.0  6.5  2.27 12.50  7.05 266 1023.5  12.5  12.1 999.0 99.0
96 01 10 03 288  4.3  5.4  2.24 11.11  7.38 263 1025.0  12.5  12.1 999.0 99.0
96 01 10 04 283  4.2  5.1  2.10 12.50  7.25 272 1026.5  12.5  12.1 999.0 99.0
96 01 10 05 233  2.5  3.3  2.13 12.50  7.53 258 1026.9  12.6  12.1 999.0 99.0
96 01 10 06 204  3.7  4.7  2.23 12.50  7.43 266 1027.2  12.6  12.1 999.0 99.0
96 01 10 07 292  3.5  4.4  2.16 12.50  7.13 272 1028.0  11.6  12.1 999.0 99.0
96 01 10 08 229  3.9  4.9  2.17 11.11  7.25 268 1028.8  12.0  12.1 999.0 99.0
96 01 10 09 231  4.0  5.1  2.15 11.11  7.07 255 1028.8  12.5  12.1 999.0 99.0
96 01 10 10 308  4.4  5.6  2.15 12.50  7.10 273 1029.0  12.3  12.1 999.0 99.0
96 01 10 11 288  2.0  2.7  1.99 11.11  6.69 263 1029.8  12.0  12.1 999.0 99.0
